Solution,Round,Loss distributed,Loss centralized
fedavg,1,2.303784966468811,0.07209517397880554
fedavg,2,2.3020983934402466,0.07204697234630585
fedavg,3,2.3002086083094277,0.07199169530868531
fedavg,4,2.297613183657328,0.07191397149562835
fedavg,5,2.2931938966115317,0.07177876670360565
fedavg,6,2.2848326365152993,0.0715180382013321
fedavg,7,2.2659733295440674,0.07093130993843079
fedavg,8,2.2140392462412515,0.069292827129364
fedavg,9,2.0984772046407065,0.06560645169019699
fedavg,10,2.021888554096222,0.06314554734230042
