Solution,Round,Accuracy distributed,Accuracy centralized
qfedavg,1,0.0114,0.1025
qfedavg,1,0.0116,0.1025
qfedavg,1,0.0095,0.1025
qfedavg,1,0.0091,0.1025
qfedavg,1,0.0097,0.1025
qfedavg,1,0.0109,0.1025
qfedavg,1,0.0096,0.1025
qfedavg,1,0.0093,0.1025
qfedavg,1,0.0122,0.1025
qfedavg,1,0.0092,0.1025
qfedavg,2,0.0095,0.1041
qfedavg,2,0.0096,0.1041
qfedavg,2,0.0117,0.1041
qfedavg,2,0.0096,0.1041
qfedavg,2,0.0091,0.1041
qfedavg,2,0.0111,0.1041
qfedavg,2,0.0097,0.1041
qfedavg,2,0.0116,0.1041
qfedavg,2,0.0127,0.1041
qfedavg,2,0.0095,0.1041
qfedavg,3,0.007142857142857143,0.106
qfedavg,3,0.009142857142857144,0.106
qfedavg,3,0.006857142857142857,0.106
qfedavg,3,0.006857142857142857,0.106
qfedavg,3,0.008214285714285714,0.106
qfedavg,3,0.007071428571428571,0.106
qfedavg,3,0.008571428571428572,0.106
qfedavg,3,0.008071428571428571,0.106
qfedavg,3,0.009142857142857144,0.106
qfedavg,3,0.006857142857142857,0.106
qfedavg,3,0.007071428571428571,0.106
qfedavg,3,0.006714285714285714,0.106
qfedavg,3,0.008071428571428571,0.106
qfedavg,3,0.007142857142857143,0.106
qfedavg,4,0.0074285714285714285,0.1092
qfedavg,4,0.006928571428571429,0.1092
qfedavg,4,0.008285714285714285,0.1092
qfedavg,4,0.00842857142857143,0.1092
qfedavg,4,0.008285714285714285,0.1092
qfedavg,4,0.009571428571428571,0.1092
qfedavg,4,0.007,0.1092
qfedavg,4,0.0074285714285714285,0.1092
qfedavg,4,0.007,0.1092
qfedavg,4,0.009571428571428571,0.1092
qfedavg,4,0.008642857142857143,0.1092
qfedavg,4,0.0074285714285714285,0.1092
qfedavg,4,0.0074285714285714285,0.1092
qfedavg,4,0.006857142857142857,0.1092
qfedavg,5,0.010214285714285714,0.1127
qfedavg,5,0.006857142857142857,0.1127
qfedavg,5,0.007785714285714286,0.1127
qfedavg,5,0.008714285714285714,0.1127
qfedavg,5,0.008714285714285714,0.1127
qfedavg,5,0.008,0.1127
qfedavg,5,0.007214285714285714,0.1127
qfedavg,5,0.008714285714285714,0.1127
qfedavg,5,0.007785714285714286,0.1127
qfedavg,5,0.010214285714285714,0.1127
qfedavg,5,0.007,0.1127
qfedavg,5,0.007571428571428572,0.1127
qfedavg,5,0.007214285714285714,0.1127
qfedavg,5,0.00842857142857143,0.1127
qfedavg,6,0.010285714285714285,0.1365
qfedavg,6,0.009785714285714286,0.1365
qfedavg,6,0.008857142857142857,0.1365
qfedavg,6,0.009785714285714286,0.1365
qfedavg,6,0.010071428571428571,0.1365
qfedavg,6,0.010071428571428571,0.1365
qfedavg,6,0.008857142857142857,0.1365
qfedavg,6,0.009857142857142858,0.1365
qfedavg,6,0.008785714285714286,0.1365
qfedavg,6,0.012071428571428571,0.1365
qfedavg,6,0.009857142857142858,0.1365
qfedavg,6,0.012071428571428571,0.1365
qfedavg,6,0.00907142857142857,0.1365
qfedavg,6,0.008857142857142857,0.1365
qfedavg,7,0.011285714285714286,0.167
qfedavg,7,0.011285714285714286,0.167
qfedavg,7,0.011785714285714287,0.167
qfedavg,7,0.012285714285714285,0.167
qfedavg,7,0.012071428571428571,0.167
qfedavg,7,0.011,0.167
qfedavg,7,0.013428571428571429,0.167
qfedavg,7,0.011428571428571429,0.167
qfedavg,7,0.013214285714285715,0.167
qfedavg,7,0.013214285714285715,0.167
qfedavg,7,0.012428571428571428,0.167
qfedavg,7,0.012071428571428571,0.167
qfedavg,7,0.013428571428571429,0.167
qfedavg,7,0.010357142857142856,0.167
qfedavg,8,0.015142857142857144,0.1866
qfedavg,8,0.013428571428571429,0.1866
qfedavg,8,0.013928571428571429,0.1866
qfedavg,8,0.013285714285714286,0.1866
qfedavg,8,0.012714285714285714,0.1866
qfedavg,8,0.012714285714285714,0.1866
qfedavg,8,0.014142857142857143,0.1866
qfedavg,8,0.013571428571428571,0.1866
qfedavg,8,0.015142857142857144,0.1866
qfedavg,8,0.011714285714285714,0.1866
qfedavg,8,0.012714285714285714,0.1866
qfedavg,8,0.014142857142857143,0.1866
qfedavg,8,0.013428571428571429,0.1866
qfedavg,8,0.012642857142857143,0.1866
qfedavg,9,0.015142857142857144,0.2016
qfedavg,9,0.014642857142857143,0.2016
qfedavg,9,0.014857142857142857,0.2016
qfedavg,9,0.014142857142857143,0.2016
qfedavg,9,0.01307142857142857,0.2016
qfedavg,9,0.016142857142857143,0.2016
qfedavg,9,0.015142857142857144,0.2016
qfedavg,9,0.014,0.2016
qfedavg,9,0.016142857142857143,0.2016
qfedavg,9,0.014,0.2016
qfedavg,9,0.014214285714285714,0.2016
qfedavg,9,0.013571428571428571,0.2016
qfedavg,9,0.013571428571428571,0.2016
qfedavg,9,0.014214285714285714,0.2016
qfedavg,10,0.013714285714285714,0.2089
qfedavg,10,0.015428571428571429,0.2089
qfedavg,10,0.014857142857142857,0.2089
qfedavg,10,0.014214285714285714,0.2089
qfedavg,10,0.016428571428571428,0.2089
qfedavg,10,0.015285714285714286,0.2089
qfedavg,10,0.014857142857142857,0.2089
qfedavg,10,0.014928571428571428,0.2089
qfedavg,10,0.015,0.2089
qfedavg,10,0.016428571428571428,0.2089
qfedavg,10,0.014214285714285714,0.2089
qfedavg,10,0.014857142857142857,0.2089
qfedavg,10,0.015428571428571429,0.2089
qfedavg,10,0.0145,0.2089
