Solution,Round,Loss distributed,Loss centralized
qfedavg,1,2.3034766912460327,0.07210029029846192
qfedavg,2,2.3020509481430054,0.07205538501739502
qfedavg,3,2.300341180392674,0.07200548737049103
qfedavg,4,2.298348835536412,0.07194176933765412
qfedavg,5,2.2953407764434814,0.07184631493091584
qfedavg,6,2.2905336959021434,0.07169504981040954
qfedavg,7,2.283253925187247,0.07146639218330383
qfedavg,8,2.272872635296413,0.07114080004692078
qfedavg,9,2.259783846991403,0.07073041896820069
qfedavg,10,2.2449798243386403,0.07026736438274384
