Solution,Round,Loss distributed,Loss centralized
fedadagrad,1,736.2622680664062,23.035436544799804
fedadagrad,2,2.362176609039307,0.07393266296386719
fedadagrad,3,2.3128711938858033,0.07237910375595093
fedadagrad,4,2.2672247648239137,0.0709744103550911
fedadagrad,5,2.1233358860015867,0.0664554483294487
fedadagrad,6,2.0031609535217285,0.06270713815689087
fedadagrad,7,2.074289345741272,0.06492149118185044
fedadagrad,8,2.1939146518707275,0.06869281207323075
fedadagrad,9,1.946117115020752,0.060906898248195646
fedadagrad,10,1.9281452536582946,0.060358977925777435
